index,artist_name,track_name,track_id,track_popularity,artist_id
0,Bring Me The Horizon,Throne,0M3adYbGtyRHACP86dey1H,73,1Ffb6ejR6Fe5IamqA5oRUF
1,Cascada,Dangerous - Thyron Remix,2DeGPkkkn8tnI9NbUfrnu2,44,0N0d3kjwdY2h7UVuTdJGfp
2,GRAVEDGR,KAMIKAZE - Thyron Remix,5RWoWXjn5UgnjnW8k9icaF,28,1kiZfWU37oS0pCOV7Os1Pj
3,Erykah Badu,Tyrone - Live,1MCem6JigI6jgQPMgriKbU,52,7IfculRW2WXyzNQ8djX8WX
4,Thyron,Reignite The Fire (Indicator 2022 Anthem),6jR1oQGOmjlOCkghUCRNNL,46,75jOSvJYkVT21xz5yll1xM
5,My Morning Jacket,Tyrone,0axsMumJxKRTuYCMb9oeWl,49,43O3c6wewpzPKwVaGEEtBM
6,Thyron,Time Of Your Life - Thyron 2022 Remix,36w8l89P7tjZ9kB4lqrpNy,35,75jOSvJYkVT21xz5yll1xM
7,Thyron,Time Of Your Life,3jy3bdeZccXkdEqt1x7PYR,42,75jOSvJYkVT21xz5yll1xM
8,Brennan Heart,Journey - Thyron Remix,7kH1yqCTGFyKo0e6QqEVpw,30,5QySqc6yAFDx9m7fedFZmC
9,Charity Gayle,Throne Room Song,2jspAMff1XSSzkYhZJtzZV,48,57YsESW6BGZLHQgOg8AiAq
10,Thyron,Rebels Of The Night,3jhqya4JPM77Ut2OE0TIGs,27,75jOSvJYkVT21xz5yll1xM
11,Kim Walker-Smith,Throne Room,02X93AUKXP7FPJBPckqgGu,47,4leTWyczsXYGlzUh8sFGSz
12,Thyron,Me & You,6ps1TnC5RFiJnQXrDQzIFT,37,75jOSvJYkVT21xz5yll1xM
13,Audiotricz,Legends Of The Night,2XCcmdYEDi4lpsPAvcK8gr,35,52I8HbScEEvgwiiSDaM7gP
14,Thyron,Time Of Your Life - Thyron 2022 Remix,3gyTbBkNpnkDnCXKviQTJq,33,75jOSvJYkVT21xz5yll1xM
15,Thyron,Sense Of Time - 2022 Remix,12Ho66EAWVLNKXk54TVmMB,35,75jOSvJYkVT21xz5yll1xM
16,Brennan Heart,Journey - Thyron Remix,48zwTOYYVbgVy2wsPj1C3I,26,5QySqc6yAFDx9m7fedFZmC
17,Riot Shift,MUTILATE,2SWmaAY3DVqb7Eai0j82NC,32,5J3RIw3YwgyXeosItjR9GY
18,Thyron,Blood Sacrifice,52hI02nkYnzPmAAVZGk9l1,33,75jOSvJYkVT21xz5yll1xM
19,Thyron,Rave Generation,6weWelB42qcTcVWqfdvFDE,25,75jOSvJYkVT21xz5yll1xM
20,Thyron,Sense Of Time - 2022 Remix,31DMjeqwOYTLKvhjofMBrC,33,75jOSvJYkVT21xz5yll1xM
21,Thyron,The Dome,4lmtFBzb6n4pHSfhuBmyni,29,75jOSvJYkVT21xz5yll1xM
22,Thyron,Crash,3bcEhqhThDSJVieXVTTl9d,24,75jOSvJYkVT21xz5yll1xM
23,Luminite,Make It Clap - Thyron Remix,5ZGHzvfEMb7nwJdqQ6UUIb,14,56uBktjCLyONyLAgE7VBq1
24,Thyron,Time Of Your Life - Radio Mix,6cYhGDm6IsVH1ZMhbibE1h,28,75jOSvJYkVT21xz5yll1xM
25,Thyron,Dark Emotions - Original Edit,24fHfHKVqccJQuzJ6TPCEY,13,75jOSvJYkVT21xz5yll1xM
26,Audiotricz,Legends Of The Night,52AZ4ktNIOtGCslvCCmXq2,27,52I8HbScEEvgwiiSDaM7gP
27,Ncrypta,Surrender - Supremacy Edit,1NtYjgwtkLzZuXNOIdrngH,25,598i9uHpVAukdj6QRUEaq6
28,Thyron,Foul Play - Thyron Live Edit,5TnrE9vZuFwNvHt3u4e1eI,20,75jOSvJYkVT21xz5yll1xM
29,Malice & Thyron,Beat You To Death - Pro Mix,05AHr7Cl6jessv3ySG6Cqs,9,0NAnYWbeyhY2rdUwHieCd2
30,Thyron,Rise Of The Underground (Official 10 Years of Gearbox Anthem),1t9w5XDPVFDkIGtwJfZz3w,25,75jOSvJYkVT21xz5yll1xM
